"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time","score"
0,"ANDRE FILI",11,1,0,0,"Featherweight","KO/TKO",2,"2:15",7.5
1,"YAIR RODRIGUEZ",25,2,0,3,"Featherweight","KO/TKO",2,"2:15",86.5
1,"ANDRE FILI",16,1,0,0,"Featherweight","KO/TKO",1,"3:13",110
0,"GABRIEL BENITEZ",11,0,0,0,"Featherweight","KO/TKO",1,"3:13",5.5
0,"ANDRE FILI",1,0,0,0,"Featherweight","SUB",1,"3:14",0.5
1,"GODOFREDO PEPEY",1,0,1,0,"Featherweight","SUB",1,"3:14",100.5
1,"ANDRE FILI",42,5,1,4,"Featherweight","U-DEC",3,"5:00",56
0,"FELIPE ARANTES",29,3,1,3,"Featherweight","U-DEC",3,"5:00",20.5
0,"ANDRE FILI",44,3,0,0,"Featherweight","SUB",3,"3:39",28
1,"MAX HOLLOWAY",47,0,2,0,"Featherweight","SUB",3,"3:39",73.5
