"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time","score"
0,"HACRAN DIAS",55,0,0,0,"Featherweight","U-DEC",3,"5:00",27.5
1,"CUB SWANSON",83,0,0,1,"Featherweight","U-DEC",3,"5:00",66.5
1,"HACRAN DIAS",17,3,1,1,"Featherweight","S-DEC",3,"5:00",39.5
0,"LEVAN MAKASHVILI",37,2,0,1,"Featherweight","S-DEC",3,"5:00",22.5
1,"HACRAN DIAS",30,5,0,6,"Featherweight","U-DEC",3,"5:00",50
0,"DARREN ELKINS",37,1,1,4,"Featherweight","U-DEC",3,"5:00",20.5
0,"HACRAN DIAS",31,2,0,0,"Featherweight","U-DEC",3,"5:00",19.5
1,"RICARDO LAMAS",33,2,1,2,"Featherweight","U-DEC",3,"5:00",45.5
0,"HACRAN DIAS",40,1,1,2,"Featherweight","U-DEC",3,"5:00",22
1,"NIK LENTZ",42,4,0,6,"Featherweight","U-DEC",3,"5:00",54
