"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time","score"
1,"JOHN LINEKER",26,0,0,0,"Bantamweight","KO/TKO",1,"2:43",113
0,"MICHAEL MCDONALD",14,0,0,0,"Bantamweight","KO/TKO",1,"2:43",7
1,"JOHN LINEKER",80,1,0,4,"Bantamweight","U-DEC",3,"5:00",67
0,"ROB FONT",40,0,0,0,"Bantamweight","U-DEC",3,"5:00",20
1,"JOHN LINEKER",28,0,1,0,"Bantamweight","SUB",1,"2:08",114
0,"FRANCISCO RIVERA",16,0,0,0,"Bantamweight","SUB",1,"2:08",8
1,"JOHN LINEKER",133,2,0,0,"Flyweight","KO/TKO",3,"4:51",120.5
0,"ALPTEKIN OZKILIC",88,1,0,1,"Flyweight","KO/TKO",3,"4:51",46
0,"JOHN LINEKER",27,0,2,0,"Flyweight","U-DEC",3,"5:00",13.5
1,"ALI BAGAUTINOV",49,6,1,3,"Flyweight","U-DEC",3,"5:00",61.5
1,"JOHN LINEKER",22,2,0,0,"Flyweight","KO/TKO",2,"1:03",85
0,"JOSE MARIA",19,1,1,0,"Flyweight","KO/TKO",2,"1:03",11.5
1,"JOHN LINEKER",36,0,0,0,"Flyweight","KO/TKO",2,"1:07",88
0,"AZAMAT GASHIMOV",7,0,0,0,"Flyweight","KO/TKO",2,"1:07",3.5
