"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time","score"
0,"NATE MARQUARDT",7,0,0,0,"Middleweight","KO/TKO",1,"3:39",3.5
1,"THIAGO SANTOS",16,0,0,0,"Middleweight","KO/TKO",1,"3:39",108
1,"NATE MARQUARDT",16,0,0,0,"Middleweight","KO/TKO",2,"0:28",78
0,"CB DOLLAWAY",15,0,0,0,"Middleweight","KO/TKO",2,"0:28",7.5
0,"NATE MARQUARDT",18,0,0,0,"Middleweight","KO/TKO",2,"5:00",9
1,"KELVIN GASTELUM",59,1,0,2,"Middleweight","KO/TKO",2,"5:00",101.5
0,"NATE MARQUARDT",30,0,0,0,"Middleweight","U-DEC",3,"5:00",15
1,"BRAD TAVARES",50,1,0,0,"Middleweight","U-DEC",3,"5:00",52
1,"NATE MARQUARDT",17,2,1,2,"Middleweight","SUB",1,"4:34",112.5
0,"JAMES TE HUNA",6,0,0,0,"Middleweight","SUB",1,"4:34",3
0,"NATE MARQUARDT",4,0,0,0,"Welterweight","KO/TKO",1,"1:48",2
1,"HECTOR LOMBARD",10,0,0,0,"Welterweight","KO/TKO",1,"1:48",105
0,"NATE MARQUARDT",13,0,0,0,"Welterweight","KO/TKO",1,"3:00",6.5
1,"JAKE ELLENBERGER",13,0,0,0,"Welterweight","KO/TKO",1,"3:00",106.5
