"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time"
"1","CRIS CYBORG","84","2","0","4","Catch Weight","KO/TKO","2","2:29"
"0","LINA LANSBERG","14","0","0","0","Catch Weight","KO/TKO","2","2:29"
"1","RENAN BARAO","64","3","0","0","Featherweight","U-DEC","3","5:00"
"0","PHILLIPE NOVER","39","0","0","0","Featherweight","U-DEC","3","5:00"
"1","ROY NELSON","36","0","0","0","Heavyweight","KO/TKO","2","4:10"
"0","ANTONIO SILVA","27","0","0","0","Heavyweight","KO/TKO","2","4:10"
"1","FRANCISCO TRINALDO","32","1","0","1","Lightweight","KO/TKO","3","2:25"
"0","PAUL FELDER","33","0","0","0","Lightweight","KO/TKO","3","2:25"
"1","ERIC SPICELY","5","1","1","2","Middleweight","SUB","1","2:58"
"0","THIAGO SANTOS","2","0","0","1","Middleweight","SUB","1","2:58"
"1","GODOFREDO PEPEY","24","1","2","1","Featherweight","SUB","1","3:03"
"0","MIKE DE LA TORRE","6","0","0","0","Featherweight","SUB","1","3:03"
"1","MICHEL PRAZERES","67","5","0","0","Lightweight","U-DEC","3","5:00"
"0","GILBERT BURNS","46","1","0","1","Lightweight","U-DEC","3","5:00"
"1","RANI YAHYA","10","7","1","6","Bantamweight","U-DEC","3","5:00"
"0","MICHINORI TANAKA","20","1","0","0","Bantamweight","U-DEC","3","5:00"
"1","JUSSIER FORMIGA","8","1","2","8","Flyweight","U-DEC","3","5:00"
"0","DUSTIN ORTIZ","13","0","0","0","Flyweight","U-DEC","3","5:00"
"1","ERICK SILVA","55","0","2","4","Welterweight","SUB","3","3:57"
"0","LUAN CHAGAS","41","1","0","2","Welterweight","SUB","3","3:57"
"1","ALAN PATRICK","7","5","1","6","Lightweight","U-DEC","3","5:00"
"0","STEVIE RAY","2","0","1","2","Lightweight","U-DEC","3","5:00"
"1","VICENTE LUQUE","11","0","0","0","Welterweight","KO/TKO","1","1:00"
"0","HECTOR URBINA","5","0","0","0","Welterweight","KO/TKO","1","1:00"
"1","GREGOR GILLESPIE","41","5","0","8","Lightweight","U-DEC","3","5:00"
"0","GLAICO FRANCA","43","0","0","0","Lightweight","U-DEC","3","5:00"
"1","MICHAEL JOHNSON","14","0","0","0","Lightweight","KO/TKO","1","1:35"
"0","DUSTIN POIRIER","6","0","0","0","Lightweight","KO/TKO","1","1:35"
"1","DEREK BRUNSON","4","0","0","0","Middleweight","KO/TKO","1","1:41"
"0","URIAH HALL","1","0","0","0","Middleweight","KO/TKO","1","1:41"
"1","EVAN DUNHAM","144","3","2","4","Lightweight","U-DEC","3","5:00"
"0","RICK GLENN","58","0","0","0","Lightweight","U-DEC","3","5:00"
"1","ROAN CARNEIRO","33","2","0","2","Welterweight","S-DEC","3","5:00"
"0","KENNY ROBERTSON","28","0","0","2","Welterweight","S-DEC","3","5:00"
"1","ISLAM MAKHACHEV","12","4","2","7","Lightweight","U-DEC","3","5:00"
"0","CHRIS WADE","5","0","2","4","Lightweight","U-DEC","3","5:00"
"1","CHAS SKELLY","1","0","1","0","Featherweight","SUB","1","0:19"
"0","MAXIMO BLANCO","0","0","0","0","Featherweight","SUB","1","0:19"
"1","GABRIEL BENITEZ","39","0","1","0","Featherweight","SUB","2","1:20"
"0","SAM SICILIA","19","0","0","0","Featherweight","SUB","2","1:20"
"1","BELAL MUHAMMAD","66","3","0","5","Welterweight","KO/TKO","3","4:19"
"0","AUGUSTO MONTANO","67","0","0","0","Welterweight","KO/TKO","3","4:19"
"1","ANTONIO CARLOS JUNIOR","32","7","1","5","Middleweight","SUB","3","4:46"
"0","LEONARDO AUGUSTO LELECO","6","0","2","0","Middleweight","SUB","3","4:46"
"1","JOSE QUINONEZ","56","5","0","5","Bantamweight","U-DEC","3","5:00"
"0","JOEY GOMEZ","44","0","0","0","Bantamweight","U-DEC","3","5:00"
"1","RANDY BROWN","12","1","1","0","Welterweight","SUB","3","0:18"
"0","ERICK MONTANO","21","2","0","1","Welterweight","SUB","3","0:18"
"","ALEJANDRO PEREZ","61","1","0","0","Bantamweight","M-DEC","","3"
"","ALBERT MORALES","79","0","0","0","Bantamweight","M-DEC","","3"
"1","STIPE MIOCIC","34","1","0","0","Heavyweight","KO/TKO","1","4:27"
"0","ALISTAIR OVEREEM","9","0","1","0","Heavyweight","KO/TKO","1","4:27"
"1","FABRICIO WERDUM","84","0","1","1","Heavyweight","U-DEC","3","5:00"
"0","TRAVIS BROWNE","37","0","0","0","Heavyweight","U-DEC","3","5:00"
"1","MICKEY GALL","20","1","2","3","Welterweight","SUB","1","2:14"
"0","CM PUNK","0","0","0","0","Welterweight","SUB","1","2:14"
"1","JIMMIE RIVERA","54","0","0","0","Bantamweight","U-DEC","3","5:00"
"0","URIJAH FABER","22","0","0","0","Bantamweight","U-DEC","3","5:00"
"1","JESSICA ANDRADE","20","2","1","3","Women's Strawweight","SUB","1","4:38"
"0","JOANNE CALDERWOOD","13","0","0","0","Women's Strawweight","SUB","1","4:38"
