"name","against","weight"
"JOHN LINEKER","John Dodson","Bantamweight"
"JOHN DODSON","John Lineker","Bantamweight"
"WILL BROOKS","Alex Oliveira","Lightweight"
"ALEX OLIVEIRA","Will Brooks","Lightweight"
"JOSHUA BURKMAN","Zak Ottow","Welterweight"
"ZAK OTTOW","Joshua Burkman","Welterweight"
"LOUIS SMOLKA","Brandon Moreno","Flyweight"
"BRANDON MORENO","Louis Smolka","Flyweight"
"HENRIQUE DA SILVA","Joachim Christensen","Light Heavyweight"
"JOACHIM CHRISTENSEN","Henrique da Silva","Light Heavyweight"
"HACRAN DIAS","Andre Fili","Featherweight"
"ANDRE FILI","Hacran Dias","Featherweight"
"SHAMIL ABDURAKHIMOV","Walt Harris","Heavyweight"
"WALT HARRIS","Shamil Abdurakhimov","Heavyweight"
"KEITA NAKAMURA","Elizeu Zaleski dos Santos","Welterweight"
"ELIZEU ZALESKI DOS SANTOS","Keita Nakamura","Welterweight"
"NATE MARQUARDT","Tamdan McCrory","Middleweight"
"TAMDAN MCCRORY","Nate Marquardt","Middleweight"
"JONATHAN WILSON","Ion Cutelaba","Light Heavyweight"
"ION CUTELABA","Jonathan Wilson","Light Heavyweight"
"CODY EAST","Curtis Blaydes","Heavyweight"
"CURTIS BLAYDES","Cody East","Heavyweight"
"KELLY FASZHOLZ","Ketlen Vieira","Women's Bantamweight"
"KETLEN VIEIRA","Kelly Faszholz","Women's Bantamweight"
