"event_urls","event_dates"
http://www.fightmetric.com/event-details/a196332ee4aa8a82,October 01, 2016
http://www.fightmetric.com/event-details/154a6b3ffae264cd,October 08, 2016
http://www.fightmetric.com/event-details/e3a6c6d6d0ac0815,October 15, 2016
http://www.fightmetric.com/event-details/6083f497c22cc075,November 05, 2016
http://www.fightmetric.com/event-details/4956f60b7fa57c1a,November 12, 2016
http://www.fightmetric.com/event-details/6810d8d2dd557cf9,November 19, 2016
http://www.fightmetric.com/event-details/5cde96e0a1a1fffe,November 19, 2016
http://www.fightmetric.com/event-details/73e09f837f3b5ecc,November 26, 2016
http://www.fightmetric.com/event-details/bd4389b71fdc0ce2,December 03, 2016
http://www.fightmetric.com/event-details/7139cd2ae4bf6a29,December 09, 2016
http://www.fightmetric.com/event-details/6e3282d57d2467a0,December 10, 2016
http://www.fightmetric.com/event-details/32541eb5d12668b4,December 17, 2016
http://www.fightmetric.com/event-details/4b2390cfaceb91d8,December 30, 2016
