"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time","score"
"1","JOHN DODSON","16","0","0","0","Bantamweight","KO/TKO","1","0:37","108"
"0","MANVEL GAMBURYAN","2","0","0","0","Bantamweight","KO/TKO","1","0:37","1"
"0","JOHN DODSON","58","1","0","0","Flyweight","U-DEC","5","5:00","31"
"1","DEMETRIOUS JOHNSON","88","4","0","0","Flyweight","U-DEC","5","5:00","77"
"1","JOHN DODSON","31","2","0","1","Flyweight","U-DEC","3","5:00","44.5"
"0","ZACH MAKOVSKY","37","0","0","0","Flyweight","U-DEC","3","5:00","18.5"
"1","JOHN DODSON","27","1","0","0","Flyweight","KO/TKO","2","5:00","85.5"
"0","JOHN MORAGA","8","0","0","0","Flyweight","KO/TKO","2","5:00","4"
"1","JOHN DODSON","28","0","0","0","Flyweight","KO/TKO","1","4:13","114"
"0","DARRELL MONTAGUE","10","0","0","0","Flyweight","KO/TKO","1","4:13","5"
"0","JOHN DODSON","57","1","0","0","Flyweight","U-DEC","5","5:00","30.5"
"1","DEMETRIOUS JOHNSON","127","5","0","0","Flyweight","U-DEC","5","5:00","98.5"
