F,F,F,F,F,F,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,F,Louis Smolka (7524173),Louis Smolka,7524173,9400,Moreno@Smolka 07:15PM ET,Smolka,
,,,,,,,F,Henrique da Silva (7524185),Henrique da Silva,7524185,9200,Christensen@da Silva 07:15PM ET,da Silva,
,,,,,,,F,Will Brooks (7524179),Will Brooks,7524179,9000,Brooks@Oliveira 07:15PM ET,Brooks,
,,,,,,,F,Joshua Burkman (7524181),Joshua Burkman,7524181,8900,Burkman@Ottow 07:15PM ET,Burkman,
,,,,,,,F,Walt Harris (7524175),Walt Harris,7524175,8800,Abdurakhimov@Harris 07:15PM ET,Harris,
,,,,,,,F,Ion Cutelaba (7524196),Ion Cutelaba,7524196,8700,Cutelaba@Wilson 07:15PM ET,Cutelaba,
,,,,,,,F,Kelly Faszholz (7524183),Kelly Faszholz,7524183,8600,Faszholz@Vieira 07:15PM ET,Faszholz,
,,,,,,,F,Hacran Dias (7524187),Hacran Dias,7524187,8500,Dias@Fili 07:15PM ET,Dias,
,,,,,,,F,Keita Nakamura (7524193),Keita Nakamura,7524193,8400,Nakamura@Zaleski dos Santos 07:15PM ET,Nakamura,
,,,,,,,F,Curtis Blaydes (7524191),Curtis Blaydes,7524191,8300,Blaydes@East 07:15PM ET,Blaydes,
,,,,,,,F,Tamdan McCrory (7524178),Tamdan McCrory,7524178,8200,Marquardt@McCrory 07:15PM ET,McCrory,
,,,,,,,F,John Dodson (7524189),John Dodson,7524189,8100,Dodson@Lineker 07:15PM ET,Dodson,
,,,,,,,F,John Lineker (7524190),John Lineker,7524190,8100,Dodson@Lineker 07:15PM ET,Lineker,
,,,,,,,F,Nate Marquardt (7524177),Nate Marquardt,7524177,8000,Marquardt@McCrory 07:15PM ET,Marquardt,
,,,,,,,F,Cody East (7524192),Cody East,7524192,7900,Blaydes@East 07:15PM ET,East,
,,,,,,,F,Elizeu Zaleski dos Santos (7524194),Elizeu Zaleski dos Santos,7524194,7800,Nakamura@Zaleski dos Santos 07:15PM ET,Zaleski dos Santos,
,,,,,,,F,Andre Fili (7524188),Andre Fili,7524188,7700,Dias@Fili 07:15PM ET,Fili,
,,,,,,,F,Ketlen Vieira (7524184),Ketlen Vieira,7524184,7600,Faszholz@Vieira 07:15PM ET,Vieira,
,,,,,,,F,Jonathan Wilson (7524195),Jonathan Wilson,7524195,7500,Cutelaba@Wilson 07:15PM ET,Wilson,
,,,,,,,F,Shamil Abdurakhimov (7524176),Shamil Abdurakhimov,7524176,7400,Abdurakhimov@Harris 07:15PM ET,Abdurakhimov,
,,,,,,,F,Zak Ottow (7524182),Zak Ottow,7524182,7300,Burkman@Ottow 07:15PM ET,Ottow,
,,,,,,,F,Alex Oliveira (7524180),Alex Oliveira,7524180,7200,Brooks@Oliveira 07:15PM ET,Oliveira,
,,,,,,,F,Joachim Christensen (7524186),Joachim Christensen,7524186,7000,Christensen@da Silva 07:15PM ET,Christensen,
,,,,,,,F,Brandon Moreno (7524174),Brandon Moreno,7524174,6800,Moreno@Smolka 07:15PM ET,Moreno,
