"name_f1","weight_f1","ou_f1","min_f1","avg_f1","max_f1","salary_f1","name_f2","weight_f2","ou_f2","min_f2","avg_f2","max_f2","salary_f2","pool","proj"
"ALEX OLIVEIRA","Lightweight","225","7","49.75","107.5","7200","WILL BROOKS","Lightweight","-270","67","67","67","9000","",""
"ANDRE FILI","Featherweight","150","0.5","40.4","110","7700","HACRAN DIAS","Featherweight","-175","19.5","31.7","50","8500","",""
"BRANDON MORENO","Flyweight","327","NA","NA","NA","6800","LOUIS SMOLKA","Flyweight","-402","23","74.08","117","9400","",""
"CODY EAST","Heavyweight","190","13","13","13","7900","CURTIS BLAYDES","Heavyweight","-235","16","16","16","8300","",""
"ELIZEU ZALESKI DOS SANTOS","Welterweight","105","86","86","86","7800","KEITA NAKAMURA","Welterweight","-125","9","49.75","90.5","8400","",""
"HENRIQUE DA SILVA","Light Heavyweight","-125","110.5","110.5","110.5","9200","JOACHIM CHRISTENSEN","Light Heavyweight","105","NA","NA","NA","7000","",""
"ION CUTELABA","Light Heavyweight","-156","12","12","12","8700","JONATHAN WILSON","Light Heavyweight","131","35","68.5","102","7500","",""
"JOHN DODSON","Bantamweight","-121","30.5","68.92","114","8100","JOHN LINEKER","Bantamweight","101","13.5","85.86","120.5","8100","",""
"JOSHUA BURKMAN","Welterweight","-235","10","30","59.5","8900","ZAK OTTOW","Welterweight","195","NA","NA","NA","7300","",""
"KELLY FASZHOLZ","Women's Bantamweight","-115","38","38","38","8600","KETLEN VIEIRA","Women's Bantamweight","-105","NA","NA","NA","7600","",""
"NATE MARQUARDT","Middleweight","175","2","32.36","112.5","8000","TAMDAN MCCRORY","Middleweight","-205","1","37.25","73.5","8200","",""
"SHAMIL ABDURAKHIMOV","Heavyweight","-125","4.5","30.25","56","7400","WALT HARRIS","Heavyweight","105","9","45.17","115.5","8800","",""
